User_ID,User_Name,Operation,Time,Date
1,Admin Admin,Login,11-09-2021,00:38 AM
1,Admin Admin,Login,11-09-2021,01:01 AM
1,Admin Admin,Logout,11-09-2021,01:05 AM
1,Admin Admin,Login,11-09-2021,01:05 AM
1,Admin Admin,Login,11-09-2021,01:37 AM
1,Admin Admin,Logout,11-09-2021,01:39 AM
1,Admin Admin,Logout,11-09-2021,02:24 AM
1,Admin,Login,11-09-2021,02:24 AM
1,Admin,Login,11-09-2021,02:24 AM
1,Admin,Login,11-09-2021,02:32 AM
1,Admin,Login,11-09-2021,12:45 PM
1,Admi,Login,11-09-2021,15:48 PM
2,A Manager,Login,11-09-2021,16:09 PM
2,A Manager,Logout,11-09-2021,17:39 PM
1,Admi,Logout,11-09-2021,17:40 PM
1,Admi,Login,11-09-2021,17:40 PM
1,Admi,Logout,11-09-2021,18:04 PM
1,Admin,Login,11-09-2021,18:04 PM
1,Admin,Login,11-09-2021,18:09 PM
2,Ali Wajid Raza,Login,11-09-2021,18:26 PM
1,Admin,Login,11-09-2021,18:36 PM
2,Ali Wajid Raza,Login,11-09-2021,18:41 PM
1,Admin,Login,11-09-2021,19:42 PM
1,Admin,Login,11-09-2021,19:43 PM
1,Admin,Login,11-09-2021,19:44 PM
1,Admin,Login,11-09-2021,19:44 PM
1,Admin,Login,11-09-2021,19:55 PM
1,Admin,Logout,11-09-2021,20:48 PM
2,Ali Wajid Raza,Login,11-09-2021,21:15 PM
2,Ali Wajid Raza,Login,11-09-2021,22:37 PM
